Sample,AgeID,ObjID,Actual Full ID,Morphotype_Name
ANT01.001.1,28.55908,obj00003,ANT01-001-10H-1W-10-13cm_obj00003,Acrodin Tip Long Dark Root
ANT01.001.1,28.55908,obj00005,ANT01-001-10H-1W-10-13cm_obj00005,Acrodin Tip Small Cone No Blades Dome Root
ANT01.001.1,28.55908,obj00007,ANT01-001-10H-1W-10-13cm_obj00007,Acrodin Tip Triangle Root Small Cone
ANT01.002.1,28.64824,obj00001,ANT01-002-10H-1W-61-65cm_obj00001,Acrodin Tip Long Dark Root
ANT03.005.1,28.91047,obj00001,ANT03-005-10H-2W-61-65cm_obj00001,Acrodin Tip Small Spearhead Tooth
ANT03.005.1,28.91047,obj00002,ANT03-005-10H-2W-61-65cm_obj00002,Acrodin Tip Small Spearhead Tooth
ANT03.005.1,28.91047,obj00004,ANT03-005-10H-2W-61-65cm_obj00004,Acrodin Tip Rounded Straight Tiny Root
ANT04.007.1,29.08354,obj00001,ANT04-007-10H-3W-10-14cm_obj00001,Acrodin Tip Funnel 3/4 Root Flat
ANT04.007.1,29.08354,obj00003,ANT04-007-10H-3W-10-14cm_obj00003,Patrick Sans Arms Tooth
ANT04.007.1,29.08354,obj00004,ANT04-007-10H-3W-10-14cm_obj00004,Acrodin Tip Small Spearhead Tooth
ANT04.008.1,29.17095,obj00002,ANT04-008-10H-3W-60-63cm_obj00002,Acrodin Tip Funnel 3/4 Root Flat
ANT05.010.1,29.34577,obj00001,ANT05-010-10H-4W-10-15cm_obj00001,Clear Straight 3/4 Root
ANT05.010.1,29.34577,obj00004,ANT05-010-10H-4W-10-15cm_obj00004,Acrodin Tip Small Curved Cone No Blades Dome Root
ANT05.010.1,29.34577,obj00005,ANT05-010-10H-4W-10-15cm_obj00005,Acrodin Tip Small Cone No Blades Dome Root
ANT06.011.1,29.43318,obj00001,ANT06-011-10H-4W-60-63cm_obj00001,Acrodin Tip Beak 1/2 Root Concave Base
ANT07.014.1,29.6954,obj00001,ANT07-014-10H-5W-60-63cm_obj00001,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT08.015.1,29.78281,obj00001,ANT08-015-10H-5W-110-113cm_obj00001,Acrodin Tip Funnel 3/4 Root Flat
ANT08.015.1,29.78281,obj00004,ANT08-015-10H-5W-110-113cm_obj00004,Round Acrodin Tip Small Tooth Flared Blades Small Triangle Root
ANT09.017.1,29.95763,obj00001,ANT09-017-10H-6W-60-63cm_obj00001,Acrodin Tip Long Dark Root
ANT09.018.1,30.28804,obj00001,ANT09-018-11H-1W-39-44cm_obj00001,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT10.019.1,30.34058,obj00003,ANT10-019-11H-1W-70-73cm_obj00003,Acrodin Tip Funnel 3/4 Root
ANT10.019.1,30.34058,obj00004,ANT10-019-11H-1W-70-73cm_obj00004,Round Acrodin Tip Small Tooth Flared Blades Small Triangle Root
ANT10.020.1,30.41612,obj00001,ANT10-020-11H-1W-120-123cm_obj00001,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT11.021.1,30.47656,obj00001,ANT11-021-11H-2W-10-15cm_obj00001,Acrodin Tip Funnel 3/4 Root
ANT11.021.1,30.47656,obj00002,ANT11-021-11H-2W-10-15cm_obj00002,Acrodin Tip Standard Root Small Cone
ANT11.022.1,30.5521,obj00002,ANT11-022-11H-2W-60-63cm_obj00002,Acrodin Tip Small Tooth Straight 3/4 Root Asymmetrical Blades
ANT12.023.1,30.62614,obj00002,ANT12-023-11H-2W-109-113cm_obj00002,Acrodin Tip Small Curved Cone No Blades Dome Root
ANT12.023.1,30.62614,obj00006,ANT12-023-11H-2W-109-113cm_obj00006,Acrodin Tip Small Tooth Straight 3/4 Root Asymmetrical Blades
ANT12.023.1,30.62614,obj00008,ANT12-023-11H-2W-109-113cm_obj00008,Acrodin Tip Standard Root Small Cone
ANT13.025.1,30.77874,obj00001,ANT13-025-11H-3W-60-63cm_obj00001,Acrodin Tip Small Spearhead Tooth
ANT13.025.1,30.77874,obj00004,ANT13-025-11H-3W-60-63cm_obj00004,Acrodin Tip Small Tooth Straight 3/4 Root Asymmetrical Blades
ANT13.026.1,30.85429,obj00001,ANT13-026-11H-3W-110-114cm_obj00001,Acrodin Tip Standard Slight Curve
ANT14.027.1,30.92983,obj00001,ANT14-027-11H-4W-10-13cm_obj00001,Acrodin Tip Small Spearhead Dome Root Wide Tooth
ANT15.029.1,31.08093,obj00001,ANT15-029-11H-4W-110-113cm_obj00001,Acrodin Tip Small Spearhead Tooth
ANT15.029.1,31.08093,obj00002,ANT15-029-11H-4W-110-113cm_obj00002,Acrodin Tip Dome 3/4 Root
ANT15.030.1,31.161,obj00002,ANT15-030-11H-5W-13-17cm_obj00002,Acrodin Tip Funnel 3/4 Root Flat
ANT15.030.1,31.161,obj00003,ANT15-030-11H-5W-13-17cm_obj00003,Acrodin Tip Small Tooth Straight 3/4 Root Asymmetrical Blades
ANT15.030.1,31.161,obj00004,ANT15-030-11H-5W-13-17cm_obj00004,Acrodin Tip Small Cone No Blades Dome Root
ANT16.031.1,31.23202,obj00002,ANT16-031-11H-5W-60-63cm_obj00002,Acrodin Tip Concave 1/2 Root Thick Blades
ANT16.031.1,31.23202,obj00005,ANT16-031-11H-5W-60-63cm_obj00005,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT16.032.1,31.31512,obj00002,ANT16-032-11H-5W-115-121cm_obj00002,Acrodin Tip Small Tooth Straight 3/4 Root Asymmetrical Blades
ANT17.034.1,31.86207,obj00002,ANT17-034-12H-1W-107-110cm_obj00002,Acrodin Tip Small Spearhead Tooth
ANT18.035.1,31.94064,obj00007,ANT18-035-12H-2W-9-14cm_obj00007,Acrodin Tip Small Spearhead Tooth
ANT18.035.1,31.94064,obj00011,ANT18-035-12H-2W-9-14cm_obj00011,Acrodin Tip Concave 1/2 Root Thick Blades
ANT18.035.1,31.94064,obj00012,ANT18-035-12H-2W-9-14cm_obj00012,Round Acrodin Tip Small Tooth Flared Blades Small Triangle Root
ANT18.036.1,32.01769,obj00008,ANT18-036-12H-2W-60-63cm_obj00008,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT18.036.1,32.01769,obj00009,ANT18-036-12H-2W-60-63cm_obj00009,Acrodin Tip Small Cone No Blades Dome Root
ANT18.036.1,32.01769,obj00010,ANT18-036-12H-2W-60-63cm_obj00010,Round Clear Tip Flared Blades Dome Root
ANT19.037.1,32.1056,obj00002,ANT19-037-12H-2W-107-110cm_obj00002,Acrodin Tip Funnel 3/4 Root Flat
ANT19.038.1,32.2328,obj00012,ANT19-038-12H-3W-10-13cm_obj00012,Acrodin Tip Funnel 3/4 Root Flat
ANT19.038.1,32.2328,obj00013,ANT19-038-12H-3W-10-13cm_obj00013,Acrodin Tip Funnel 3/4 Root Flat
ANT19.038.1,32.2328,obj00014,ANT19-038-12H-3W-10-13cm_obj00014,Acrodin Tip Long Dark Root
ANT19.038.1,32.2328,obj00019,ANT19-038-12H-3W-10-13cm_obj00019,Acrodin Tip Beak 1/2 Root Concave Base
ANT19.038.1,32.2328,obj00029,ANT19-038-12H-3W-10-13cm_obj00029,Acrodin Tip Long Dark Root
ANT20.039.1,32.3528,obj00002,ANT20-039-12H-3W-60-63cm_obj00002,Acrodin Tip Triangle Root Small Cone
ANT20.039.1,32.3528,obj00004,ANT20-039-12H-3W-60-63cm_obj00004,Acrodin Tip Small Spearhead Tooth
ANT20.039.1,32.3528,obj00013,ANT20-039-12H-3W-60-63cm_obj00013,Acrodin Tip Concave 1/2 Root Thick Blades
ANT20.039.1,32.3528,obj00017,ANT20-039-12H-3W-60-63cm_obj00017,Acrodin Tip Long Dark Root
ANT20.040.1,32.4704,obj00004,ANT20-040-12H-3W-109-112cm_obj00004,Round Acrodin Tip Small Tooth Flared Blades Small Triangle Root
ANT21.041.1,32.5928,obj00007,ANT21-041-12H-4W-10-13cm_obj00007,Acrodin Tip Beak 1/2 Root Convex Base
ANT21.041.1,32.5928,obj00010,ANT21-041-12H-4W-10-13cm_obj00010,Acrodin Tip Long Dark Root
ANT21.041.1,32.5928,obj00012,ANT21-041-12H-4W-10-13cm_obj00012,Acrodin Tip Small Spearhead Tooth
ANT21.042.1,32.7128,obj00003,ANT21-042-12H-4W-60-63cm_obj00003,Acrodin Tip Dome 3/4 Root
ANT21.042.1,32.7128,obj00004,ANT21-042-12H-4W-60-63cm_obj00004,Acrodin Tip Funnel 3/4 Root Flat
ANT21.042.1,32.7128,obj00005,ANT21-042-12H-4W-60-63cm_obj00005,Acrodin Tip Concave 1/2 Root Thick Blades
ANT22.043.1,32.8256,obj00002,ANT22-043-12H-4W-107-110cm_obj00002,Acrodin Tip Triangle Root Small Cone
ANT22.044.1,32.9556,obj00001,ANT22-044-12H-5W-12-17cm_obj00001,Acrodin Tip Funnel 3/4 Root Flat
ANT22.044.1,32.9556,obj00002,ANT22-044-12H-5W-12-17cm_obj00002,Acrodin Tip Funnel 3/4 Root
ANT23.045.1,33.0668,obj00003,ANT23-045-12H-5W-60-63cm_obj00003,Acrodin Tip Standard Root Small Cone
ANT23.045.1,33.0668,obj00004,ANT23-045-12H-5W-60-63cm_obj00004,Acrodin Tip Standard Root Small Cone
ANT23.045.1,33.0668,obj00005,ANT23-045-12H-5W-60-63cm_obj00005,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT23.046.1,33.17569,obj00004,ANT23-046-12H-5W-107-112cm_obj00004,Acrodin Tip Small Cone No Blades Dome Root
ANT24.047.1,33.30079,obj00008,ANT24-047-12H-6W-11-14cm_obj00008,Acrodin Tip Long Dark Root
ANT24.047.1,33.30079,obj00010,ANT24-047-12H-6W-11-14cm_obj00010,Acrodin Tip Concave 1/2 Root Thick Blades
ANT24.048.1,33.41431,obj00007,ANT24-048-12H-6W-60-63cm_obj00007,Acrodin Tip Long Dark Root
ANT24.048.1,33.41431,obj00009,ANT24-048-12H-6W-60-63cm_obj00009,Acrodin Tip Standard Slight Curve
ANT25.049.1,33.52319,obj00002,ANT25-049-12H-6W-107-110cm_obj00002,Round Acrodin Tip Small Tooth Long Dummy Root
ANT25.049.1,33.52319,obj00008,ANT25-049-12H-6W-107-110cm_obj00008,Acrodin Tip Long Dark Root
ANT25.050.1,33.64598,obj00002,ANT25-050-12H-7W-10-13cm_obj00002,Acrodin Tip Long Dark Root
ANT26.052.1,33.90081,obj00002,ANT26-052-13H-1W-60-63cm_obj00002,Patrick Sans Arms Tooth Straight
ANT27.053.1,34.00738,obj00002,ANT27-053-13H-1W-106-110cm_obj00002,Acrodin Tip Long Dark Root
ANT27.053.1,34.00738,obj00003,ANT27-053-13H-1W-106-110cm_obj00003,Patrick Sans Arms Tooth Straight
ANT27.053.1,34.00738,obj00005,ANT27-053-13H-1W-106-110cm_obj00005,Acrodin Tip Small Cone No Blades Dome Root
ANT27.054.1,34.12785,obj00001,ANT27-054-13H-2W-8-12cm_obj00001,Acrodin Tip Long Dark Root
ANT28.056.1,34.36183,obj00001,ANT28-056-13H-2W-109-114cm_obj00001,Acrodin Tip Long Dark Root
ANT28.056.1,34.36183,obj00002,ANT28-056-13H-2W-109-114cm_obj00002,Acrodin Tip Dome 1/2 Root
ANT28.056.1,34.36183,obj00004,ANT28-056-13H-2W-109-114cm_obj00004,Acrodin Tip Small Cone Curved Tooth Funnel Root
ANT29.057.1,34.47767,obj00010,ANT29-057-13H-3W-9-12cm_obj00010,Acrodin Tip Funnel 3/4 Root Flat
ANT29.058.1,34.59582,obj00003,ANT29-058-13H-3W-60-63cm_obj00003,Acrodin Tip Funnel 3/4 Root
ANT30.059.1,34.70702,obj00004,ANT30-059-13H-3W-108-111cm_obj00004,Acrodin Tip Funnel 3/4 Root
ANT30.059.1,34.70702,obj00005,ANT30-059-13H-3W-108-111cm_obj00005,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT30.060.1,34.82285,obj00002,ANT30-060-13H-4W-8-11cm_obj00002,Acrodin Tip Standard Root Small Cone
ANT32.063.1,35.18426,obj00001,ANT32-063-13H-5W-14-18cm_obj00001,Acrodin Tip Funnel 3/4 Root Flat
ANT33.065.1,35.52481,obj00001,ANT33-065-13H-6W-11-14cm_obj00001,Patrick Sans Arms Tooth
ANT33.065.1,35.52481,obj00002,ANT33-065-13H-6W-11-14cm_obj00002,Acrodin Tip Skinny Straight 1/2 Root
ANT33.066.1,35.63833,obj00001,ANT33-066-13H-6W-60-65cm_obj00001,Acrodin Tip Long Dark Root
ANT34.067.1,35.87555,obj00001,ANT34-067-13H-7W-14-18cm_obj00001,Acrodin Tip Long Dark Root
ANT34.067.1,35.87555,obj00002,ANT34-067-13H-7W-14-18cm_obj00002,Acrodin Tip Long Dark Root
ANT34.067.1,35.87555,obj00003,ANT34-067-13H-7W-14-18cm_obj00003,Acrodin Tip Concave 1/2 Root Thick Blades
ANT34.067.1,35.87555,obj00004,ANT34-067-13H-7W-14-18cm_obj00004,Acrodin Tip Concave 1/2 Root Thick Blades
ANT34.067.1,35.87555,obj00005,ANT34-067-13H-7W-14-18cm_obj00005,Acrodin Tip Concave 1/2 Root Thick Blades
ANT34.067.1,35.87555,obj00007,ANT34-067-13H-7W-14-18cm_obj00007,Acrodin Tip Long Dark Root
ANT34.067.1,35.87555,obj00011,ANT34-067-13H-7W-14-18cm_obj00011,Round Acrodin Tip Small Tooth Flared Blades Large Root
ANT34.068.1,36.22525,obj00001,ANT34-068-14H-2W-56-60cm_obj00001,Acrodin Tip Small Spearhead Tooth
ANT34.068.1,36.22525,obj00003,ANT34-068-14H-2W-56-60cm_obj00003,Acrodin Tip Small Tooth Straight 3/4 Root Asymmetrical Blades
ANT35.070.1,36.3765,obj00002,ANT35-070-14H-3W-15-18cm_obj00002,Acrodin Tip Small Spearhead Tooth
ANT35.070.1,36.3765,obj00006,ANT35-070-14H-3W-15-18cm_obj00006,Acrodin Tip Long Dark Root
ANT35.070.1,36.3765,obj00007,ANT35-070-14H-3W-15-18cm_obj00007,Acrodin Tip Small Spearhead Tooth
ANT35.070.1,36.3765,obj00008,ANT35-070-14H-3W-15-18cm_obj00008,Round Clear Tip Flared Blades Dome Root
ANT35.070.1,36.3765,obj00010,ANT35-070-14H-3W-15-18cm_obj00010,Round Acrodin Tip Small Tooth Flared Blades Small Triangle Root
ANT35.070.1,36.3765,obj00029,ANT35-070-14H-3W-15-18cm_obj00029,Acrodin Tip Long Dark Root
ANT35.070.1,36.3765,obj00030,ANT35-070-14H-3W-15-18cm_obj00030,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT36.071.1,36.44172,obj00003,ANT36-071-14H-3W-62-66cm_obj00003,Acrodin Tip Small Spearhead Pointed Tooth
ANT36.072.1,36.50417,obj00001,ANT36-072-14H-3W-107-111cm_obj00001,Acrodin Tip Beak 1/2 Root Concave Base
ANT37.073.1,36.5791,obj00009,ANT37-073-14H-4W-11-14cm_obj00009,Acrodin Tip Triangle Root Small Cone
ANT37.074.1,36.6471,obj00002,ANT37-074-14H-4W-60-65cm_obj00002,Acrodin Tip Small Tooth Straight 3/4 Root Asymmetrical Blades
ANT38.079.1,37.05647,obj00001,ANT38-079-14H-6W-55-60cm_obj00001,Acrodin Tip Small Tooth Straight 3/4 Root Asymmetrical Blades
ANT38.082.1,37.58101,obj00002,ANT38-082-15H-2W-63-68cm_obj00002,Acrodin Tip Concave 1/2 Root Thick Blades
ANT39.080.1,37.19385,obj00001,ANT39-080-14H-7W-4-17cm_obj00001,Acrodin Tip Small Cone No Blades Dome Root
